"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","SVK","Slovak Republic","2000","2000",978.4,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","SVK","Slovak Republic","2001","2001",966.4,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","SVK","Slovak Republic","2002","2002",958.4,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","SVK","Slovak Republic","2003","2003",972,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","SVK","Slovak Republic","2004","2004",965.2,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","SVK","Slovak Republic","2005","2005",995.3,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","SVK","Slovak Republic","2006","2006",992,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","SVK","Slovak Republic","2007","2007",1002,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","SVK","Slovak Republic","2008","2008",988.3,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","SVK","Slovak Republic","2009","2009",982.3,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","SVK","Slovak Republic","2010","2010",991.3,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","SVK","Slovak Republic","2012","2012",969.7,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","SVK","Slovak Republic","2013","2013",962.1,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","SVK","Slovak Republic","2014","2014",947.6,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","ESP","Spain","2000","2000",888.4,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","ESP","Spain","2001","2001",881.6,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","ESP","Spain","2002","2002",889.7,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","ESP","Spain","2003","2003",912.2,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","ESP","Spain","2004","2004",866.5,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","ESP","Spain","2005","2005",887.3,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","ESP","Spain","2006","2006",836.7,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","ESP","Spain","2007","2007",852.1,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","ESP","Spain","2008","2008",840.7,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","ESP","Spain","2009","2009",830.3,,
