"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2000","2000",88307,"D","Difference in methodology"
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2001","2001",89309,"D","Difference in methodology"
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2002","2002",90910,"D","Difference in methodology"
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2003","2003",92021,"D","Difference in methodology"
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2004","2004",95140,"D","Difference in methodology"
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2005","2005",96482,"D","Difference in methodology"
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2006","2006",98882,"D","Difference in methodology"
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2007","2007",100140,"D","Difference in methodology"
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2008","2008",102364,"D","Difference in methodology"
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2009","2009",104553,"D","Difference in methodology"
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2010","2010",106253,"D","Difference in methodology"
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2011","2011",108365,"D","Difference in methodology"
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2012","2012",110007,"D","Difference in methodology"
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2013","2013",111167,"D","Difference in methodology"
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2014","2014",113420,"D","Difference in methodology"
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2015","2015",114903,"D","Difference in methodology"
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2016","2016",116078,"D","Difference in methodology"
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2017","2017",117982,"D","Difference in methodology"
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2018","2018",118646,"D","Difference in methodology"
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2019","2019",121567,"D","Difference in methodology"
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2000","2000",17460,,
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2001","2001",18052,,
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2002","2002",18367,,
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2003","2003",18982,,
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2004","2004",19009,,
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2005","2005",19295,,
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2006","2006",19759,,
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2007","2007",20318,,
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2008","2008",21103,,
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2009","2009",21758,,
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2010","2010",22406,,
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2011","2011",22916,,
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2012","2012",23562,,
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2013","2013",23676,,
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2014","2014",24101,,
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2015","2015",23996,,
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2016","2016",24659,,
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2017","2017",24646,,
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2018","2018",25079,,
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2019","2019",25927,,
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2000","2000",45505,,
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2001","2001",46017,,
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2002","2002",47011,,
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2003","2003",47281,,
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2004","2004",49574,,
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2005","2005",50492,,
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2006","2006",52045,,
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2007","2007",52795,,
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2008","2008",54197,,
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2009","2009",55306,,
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2010","2010",55930,,
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2011","2011",56932,,
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2012","2012",57414,,
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2013","2013",58126,,
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2014","2014",59474,,
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2015","2015",60171,,
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2016","2016",60643,,
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2017","2017",61745,,
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2018","2018",62079,,
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2019","2019",63365,,
"HOEMHASN","Associate nurses employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2000","2000",0,,
"HOEMHASN","Associate nurses employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2001","2001",0,,
"HOEMHASN","Associate nurses employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2002","2002",0,,
"HOEMHASN","Associate nurses employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2003","2003",0,,
"HOEMHASN","Associate nurses employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2004","2004",0,,
"HOEMHASN","Associate nurses employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2005","2005",0,,
"HOEMHASN","Associate nurses employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2006","2006",0,,
"HOEMHASN","Associate nurses employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2007","2007",0,,
"HOEMHASN","Associate nurses employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2008","2008",0,,
"HOEMHASN","Associate nurses employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2009","2009",0,,
"HOEMHASN","Associate nurses employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2010","2010",0,,
"HOEMHASN","Associate nurses employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2011","2011",0,,
"HOEMHASN","Associate nurses employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2012","2012",0,,
"HOEMHASN","Associate nurses employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2013","2013",0,,
"HOEMHASN","Associate nurses employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2014","2014",0,,
"HOEMHASN","Associate nurses employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2015","2015",0,,
