"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2000","2000",47372,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2001","2001",49392,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2002","2002",49895,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2003","2003",51819,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2004","2004",53966,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2005","2005",56084,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2006","2006",58167,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2007","2007",62652,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2008","2008",64117,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2009","2009",67613,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2011","2011",74100,"E; B","Estimated value; Break"
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2012","2012",75258,"E","Estimated value"
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",77974,"E; B","Estimated value; Break"
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",80968,"E","Estimated value"
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",83490,"E","Estimated value"
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2016","2016",86550,"E","Estimated value"
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2017","2017",90417,"E","Estimated value"
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2018","2018",93604,"E","Estimated value"
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2019","2019",97039,"E","Estimated value"
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUT","Austria","2000","2000",30871,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUT","Austria","2001","2001",31859,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUT","Austria","2002","2002",32575,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUT","Austria","2003","2003",33410,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUT","Austria","2004","2004",34334,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUT","Austria","2005","2005",35518,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUT","Austria","2006","2006",36792,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUT","Austria","2007","2007",37643,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUT","Austria","2008","2008",38313,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUT","Austria","2009","2009",39123,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUT","Austria","2010","2010",40105,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUT","Austria","2011","2011",40634,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUT","Austria","2012","2012",41268,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUT","Austria","2013","2013",42302,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUT","Austria","2014","2014",43126,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUT","Austria","2015","2015",44002,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUT","Austria","2016","2016",44816,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUT","Austria","2017","2017",45596,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUT","Austria","2018","2018",46337,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUT","Austria","2019","2019",47224,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUT","Austria","2020","2020",47674,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2000","2000",28999,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2001","2001",29303,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2002","2002",29537,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2003","2003",29646,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2004","2004",29891,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2005","2005",30081,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2006","2006",30440,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2007","2007",30868,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2008","2008",31281,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2009","2009",31578,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2010","2010",31815,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2011","2011",32182,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2012","2012",32583,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2013","2013",32999,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2014","2014",33353,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2015","2015",34020,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2016","2016",34834,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2017","2017",35069,,
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2018","2018",35762,,
